,¼øÀ§,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO,Year
5,6,·Ôµ¥,128,191,133,58,69.6,66,12,2013
6,7,³Ø¼¾,128,196,131,65,66.8,55,14,2013
7,8,»ï¼º,128,136,95,41,69.9,58,6,2013
8,9,ÇÑÈ­,128,119,70,49,58.8,56,9,2013
0,1,»ï¼º,128,207,161,46,77.8,60,10,2014
1,2,NC,128,201,154,47,76.6,44,7,2014
2,3,SK,128,185,139,46,75.1,50,11,2014
3,4,KIA,128,184,121,63,65.8,59,7,2014
4,5,µÎ»ê,128,155,111,44,71.6,50,6,2014
5,6,LG,128,169,105,64,62.1,51,9,2014
6,7,³Ø¼¾,128,144,100,44,69.4,54,13,2014
7,8,ÇÑÈ­,128,111,70,41,63.1,46,5,2014
8,9,·Ôµ¥,128,104,63,41,60.6,49,2,2014
0,1,NC,144,264,204,60,77.3,50,14,2015
1,2,»ï¼º,144,209,157,52,75.1,60,6,2015
2,3,KT,144,176,124,52,70.5,58,10,2015
3,4,KIA,144,165,115,50,69.7,60,13,2015
4,5,LG,144,175,113,62,64.6,55,9,2015
5,6,µÎ»ê,144,158,111,47,70.3,56,6,2015
6,7,·Ôµ¥,144,154,104,50,67.5,56,9,2015
7,8,³Ø¼¾,144,147,100,47,68.0,72,16,2015
8,9,SK,144,153,94,59,61.4,59,14,2015
9,10,ÇÑÈ­,144,127,80,47,63.0,57,14,2015
0,1,³Ø¼¾,144,237,154,83,65.0,56,11,2016
1,2,·Ôµ¥,144,209,145,64,69.4,55,10,2016
2,3,LG,144,191,121,70,63.4,70,13,2016
3,4,»ï¼º,144,154,104,50,67.5,51,5,2016
4,5,KIA,144,151,101,50,66.9,52,12,2016
5,6,NC,144,140,99,41,70.7,48,3,2016
6,7,KT,144,142,96,46,67.6,58,11,2016
7,8,SK,144,149,89,60,59.7,71,8,2016
8,9,µÎ»ê,144,130,85,45,65.4,64,4,2016
9,10,ÇÑÈ­,144,102,64,38,62.7,58,10,2016
0,1,»ï¼º,144,135,98,37,72.6,53,6,2017
1,2,NC,144,125,93,32,74.4,59,7,2017
2,3,·Ôµ¥,144,136,92,44,67.6,52,10,2017
3,4,KT,144,137,86,51,62.8,54,8,2017
4,5,LG,144,133,77,56,57.9,50,9,2017
5,6,KIA,144,110,76,34,69.1,46,8,2017
6,7,³Ø¼¾,144,104,70,34,67.3,55,2,2017
7,8,µÎ»ê,144,102,69,33,67.6,36,8,2017
8,9,ÇÑÈ­,144,108,64,44,59.3,58,12,2017
9,10,SK,144,95,53,42,55.8,33,7,2017
0,1,ÇÑÈ­,144,182,118,64,64.8,58,10,2018
1,2,»ï¼º,144,168,116,52,69.0,46,4,2018
2,3,SK,144,147,108,39,73.5,51,10,2018
3,4,³Ø¼¾,144,134,101,33,75.4,45,6,2018
4,5,µÎ»ê,144,119,96,23,80.7,54,7,2018
5,6,KIA,144,125,88,37,70.4,53,6,2018
6,7,NC,144,117,82,35,70.1,48,8,2018
